Time,Susceptible,Exposed,Infected,Recovered,Dead
0,999,0,1,0,0
0.0009053814542839423,998,1,1,0,0
0.001100756305711917,997,2,1,0,0
0.0011368431686669762,996,3,1,0,0
0.0038773157694277317,995,4,1,0,0
0.004182257022355828,994,5,1,0,0
0.005968123250968182,993,6,1,0,0
0.0064560725372192485,992,7,1,0,0
0.00756713897380295,991,8,1,0,0
0.007703341926054848,990,9,1,0,0
0.009637681735058187,989,10,1,0,0
0.012679576062010641,988,11,1,0,0
0.01468763570621961,987,12,1,0,0
0.015531343009404218,986,13,1,0,0
0.01788284220563348,985,14,1,0,0
0.018230373538860357,984,15,1,0,0
0.018625502515410917,983,16,1,0,0
0.019094690931072366,982,17,1,0,0
0.019226667389528204,981,18,1,0,0
0.01999011804071583,980,19,1,0,0
0.02155348181372927,979,20,1,0,0
0.021823820975152144,978,21,1,0,0
0.02256582419761593,977,22,1,0,0
0.02426019873519525,976,23,1,0,0
0.025890942269274526,975,24,1,0,0
0.026454898726096385,974,25,1,0,0
0.026964447685623217,973,26,1,0,0
0.028421726276624357,972,27,1,0,0
0.02861378093805743,971,28,1,0,0
0.029074546993128933,970,29,1,0,0
0.029216930100260097,969,30,1,0,0
0.029287879588129093,968,31,1,0,0
0.029641872624411553,967,32,1,0,0
0.02984877105422644,966,33,1,0,0
0.029977657353019434,965,34,1,0,0
0.03054629566333653,964,35,1,0,0
0.03067160655227049,963,36,1,0,0
0.031545492785008955,962,37,1,0,0
0.03163986580617466,962,36,2,0,0
0.031675964057784334,961,37,2,0,0
0.03185282373722356,960,38,2,0,0
